epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8078,4.23709,56.9114,1.90914,0.00115,0.08658,0.00063,0.00017,3.2976,150.868,1.30052,0.000649123,0.000649123,0.000649123
2,153.416,3.26169,2.69611,1.3643,0.00033,0.02165,0.00015,4e-05,3.86632,inf,4.3603,0.00126368,0.00126368,0.00126368
3,213.162,3.14369,2.19618,1.3217,0.00033,0.02165,0.00015,4e-05,3.93964,inf,5.71081,0.00182545,0.00182545,0.00182545
4,300.454,3.14299,2.00219,1.32015,0.07537,0.41991,0.08338,0.01766,3.70132,3.10018,1.65622,0.0017624,0.0017624,0.0017624
5,384.515,3.04351,1.92116,1.27973,0.08184,0.31602,0.10295,0.02755,nan,nan,nan,0.0016832,0.0016832,0.0016832
6,483.593,3.06356,1.85969,1.28941,0.26548,0.48052,0.22963,0.05695,2.9465,1.63238,1.15324,0.001604,0.001604,0.001604
7,561.394,3.06024,1.86751,1.26384,0.27061,0.29004,0.17568,0.03814,3.1439,2.31612,1.17402,0.0015248,0.0015248,0.0015248
8,645.692,3.02975,1.84514,1.26681,0.19959,0.39827,0.14021,0.03382,3.11565,2.15542,1.19578,0.0014456,0.0014456,0.0014456
9,732.277,3.0033,1.83641,1.25626,0.24865,0.40693,0.1869,0.04316,3.08678,1.63459,1.15114,0.0013664,0.0013664,0.0013664
10,822.597,3.00243,1.82101,1.2413,0.25455,0.48052,0.23827,0.0568,2.99837,1.65553,1.12902,0.0012872,0.0012872,0.0012872
11,908.898,2.96927,1.82833,1.22295,0.25028,0.41991,0.21297,0.05016,2.89183,1.81498,1.08466,0.001208,0.001208,0.001208
12,997.732,2.98391,1.82913,1.23492,0.2777,0.52594,0.27178,0.06701,2.91161,1.62493,1.09782,0.0011288,0.0011288,0.0011288
13,1066.76,3.00739,1.82137,1.22813,0.33685,0.53247,0.27428,0.06581,2.9294,1.62824,1.11195,0.0010496,0.0010496,0.0010496
14,1147.13,2.93404,1.81839,1.23075,0.30635,0.51948,0.29461,0.06888,3.01721,1.74406,1.13789,0.0009704,0.0009704,0.0009704
15,1234.03,2.91984,1.77488,1.20773,0.27926,0.54545,0.2899,0.06255,3.04885,1.78766,1.1639,0.0008912,0.0008912,0.0008912
16,1338.06,2.97235,1.83198,1.20204,0.279,0.52381,0.26481,0.06766,2.96823,1.67025,1.12664,0.000812,0.000812,0.000812
17,1429.83,2.93477,1.78075,1.2009,0.24481,0.51515,0.27008,0.06165,3.07081,1.66469,1.14876,0.0007328,0.0007328,0.0007328
18,1507.6,2.95298,1.7865,1.17725,0.31168,0.50649,0.28558,0.06788,2.99635,1.62579,1.11364,0.0006536,0.0006536,0.0006536
19,1585.38,2.93446,1.77256,1.17297,0.29787,0.5671,0.29533,0.07306,2.92866,1.64454,1.11536,0.0005744,0.0005744,0.0005744
20,1662.18,2.92044,1.76041,1.1872,0.29573,0.52814,0.28375,0.06966,2.89116,1.61255,1.09193,0.0004952,0.0004952,0.0004952
21,1753.92,2.91144,1.76477,1.18905,0.2706,0.49351,0.2554,0.06057,2.97946,1.64588,1.11532,0.000416,0.000416,0.000416
22,1832.03,2.92879,1.76124,1.18543,0.24489,0.58009,0.28359,0.07117,2.91214,1.64096,1.10086,0.0003368,0.0003368,0.0003368
23,1915.27,2.88366,1.75817,1.16762,0.27507,0.51577,0.26767,0.06544,2.90261,1.64417,1.09786,0.0002576,0.0002576,0.0002576
24,1996.21,2.91889,1.76548,1.17606,0.27297,0.54978,0.29061,0.07286,2.91758,1.62806,1.1058,0.0001784,0.0001784,0.0001784
25,2070.63,2.89657,1.75269,1.18415,0.29293,0.54545,0.31236,0.07904,2.9271,1.64664,1.11061,9.92e-05,9.92e-05,9.92e-05
